date,value,genka
2013-04-28,135.98,123.58
2013-04-29,147.49,133.67
2013-04-30,146.93,145.36
2013-05-01,139.89,131.19
2013-05-02,125.6,110.76
2013-05-03,108.13,98.27
2013-05-04,115,108.2
2013-05-05,118.8,109.4
2013-05-06,124.66,111.21
2013-05-07,113.44,105.41
2013-05-08,115.78,114.39
2013-05-09,113.46,99.66
2013-05-10,122,113.19
2013-05-11,118.68,112.8
2013-05-12,117.45,101.1
2013-05-13,118.7,98.47
2013-05-14,119.8,116.12
2013-05-15,115.81,105.94
2013-05-16,118.76,109.76
2013-05-17,125.3,107.53
2013-05-18,125.25,118.63
2013-05-19,124.5,114.81
2013-05-20,123.62,103.96
2013-05-21,123,106.02
2013-05-22,124,120.86
2013-05-23,126.93,116.08
2013-05-24,133.85,127.07
2013-05-25,133.22,121.92
2013-05-26,136,124.49
2013-05-27,135.47,121.7
2013-05-28,130.58,112.69
2013-05-29,132.59,128.31
2013-05-30,132.25,121.67
2013-05-31,129.9,123.68
2013-06-01,129.78,109.55
2013-06-02,129.4,109.57
2013-06-03,122.5,105.94
2013-06-04,123.84,115.31
2013-06-05,123.47,111.65
2013-06-06,123.1,113.34
2013-06-07,119,105.76
2013-06-08,111.42,101.77
2013-06-09,108.99,88.47
2013-06-10,110.1,102.02
2013-06-11,109.6,94.81
2013-06-12,111.79,95.41
2013-06-13,110.3,108.82
2013-06-14,104.7,88.49
2013-06-15,103.7,96.27
2013-06-16,101.6,91.14
2013-06-17,102.21,100.26
2013-06-18,111.11,100.17
2013-06-19,110.22,101.27
2013-06-20,114.3,111.88
2013-06-21,114.99,95.33
2013-06-22,109.96,94.82
2013-06-23,108.8,100.41
2013-06-24,108.33,95.08
2013-06-25,106.47,88.77
2013-06-26,105.49,85.96
2013-06-27,104,94.29
2013-06-28,101.74,85.65
2013-06-29,99.99,82.61
2013-06-30,98.12,89.34
2013-07-01,97.66,78.94
2013-07-02,92.3,90.2
2013-07-03,90.98,72.29
2013-07-04,83.11,78.51
2013-07-05,80,63.21
2013-07-06,75,67.71
2013-07-07,74.56,62.86
2013-07-08,80,75.09
2013-07-09,78.3,76.73
2013-07-10,87,74.58
2013-07-11,90.28,84.35
2013-07-12,104,90.04
2013-07-13,98.25,83.18
2013-07-14,98.7,86.88
2013-07-15,101.9,82.53
2013-07-16,99.86,89.69
2013-07-17,99.97,97.66
2013-07-18,98.8,95.53
2013-07-19,95.2,90.65
2013-07-20,93.1,92.54
2013-07-21,91.95,75.25
2013-07-22,92,74.31
2013-07-23,96.82,90.53
2013-07-24,95.99,91.19
2013-07-25,97.33,86.62
2013-07-26,97.47,80.21
2013-07-27,97,91.35
2013-07-28,100.58,84.68
2013-07-29,102.5,86.47
2013-07-30,107.99,87.7
2013-07-31,111.34,99.91
2013-08-01,108,95.96
2013-08-02,108,93.26
2013-08-03,105.78,102.72
2013-08-04,105.95,86.78
2013-08-05,107.77,94.3
2013-08-06,107.38,89.21
2013-08-07,106.75,100.8
2013-08-08,106.75,96.94
2013-08-09,105.75,100.11
2013-08-10,103.9,85.04
2013-08-11,105.19,97.7
2013-08-12,108,99.4
2013-08-13,109.35,107.49
2013-08-14,115,100.99
2013-08-15,113.25,108.39
2013-08-16,112.3,107.86
2013-08-17,113.75,100.67
2013-08-18,114.69,110.58
2013-08-19,123.06,122.51
2013-08-20,123.01,119.11
2013-08-21,124.91,104.89
2013-08-22,123.5,116.63
2013-08-23,122,110.4
2013-08-24,121.39,113.67
2013-08-25,122.99,117.67
2013-08-26,122.75,110.65
2013-08-27,127.24,107.46
2013-08-28,127.32,117.89
2013-08-29,123.7,121.74
2013-08-30,135.75,132.48
2013-08-31,140.89,136.27
2013-09-01,145.81,139.99
2013-09-02,146.5,128.68
2013-09-03,138.34,128.38
2013-09-04,144.5,139.62
2013-09-05,131.44,127.01
2013-09-06,127.34,112.36
2013-09-07,125.94,124.42
2013-09-08,124.72,108.88
2013-09-09,129.06,111.39
2013-09-10,129.74,126.86
2013-09-11,137.83,119.23
2013-09-12,136.08,129.22
2013-09-13,137.58,118.96
2013-09-14,135.85,120.99
2013-09-15,131.44,129.02
2013-09-16,132.72,119.08
2013-09-17,132.76,112.96
2013-09-18,133.2,127.78
2013-09-19,131.77,128.68
2013-09-20,135.62,125.71
2013-09-21,128.61,110.14
2013-09-22,133.94,118.84
2013-09-23,132.72,120.88
2013-09-24,127.46,120.19
2013-09-25,129.69,115.47
2013-09-26,134.93,119.91
2013-09-27,134.74,121.3
2013-09-28,135.63,132.88
2013-09-29,140.61,122.49
2013-09-30,138.35,122.41
2013-10-01,134.63,115.75
2013-10-02,133.59,132.53
2013-10-03,123.63,115.52
2013-10-04,130.09,124.83
2013-10-05,130.44,124.57
2013-10-06,129.66,118.39
2013-10-07,130.27,121.56
2013-10-08,127.47,112.91
2013-10-09,131.75,128.05
2013-10-10,131.5,114.14
2013-10-11,131.81,125.4
2013-10-12,135.66,118.73
2013-10-13,138.66,119.82
2013-10-14,144.12,124.99
2013-10-15,145.39,133.14
2013-10-16,152.23,134.67
2013-10-17,147.42,142.1
2013-10-18,155.96,150.1
2013-10-19,177.48,174.03
2013-10-20,174.91,165.58
2013-10-21,184.82,169.57
2013-10-22,196.27,182.76
2013-10-23,213.62,210.38
2013-10-24,217.42,200.99
2013-10-25,198.87,181.73
2013-10-26,188.41,180.19
2013-10-27,196.44,192.12
2013-10-28,198.62,185.73
2013-10-29,204.79,186.18
2013-10-30,209.16,193.1
2013-10-31,205.18,199.77
2013-11-01,206.65,204.26
2013-11-02,207.76,190.62
2013-11-03,215.05,201.67
2013-11-04,231.01,223.2
2013-11-05,250.66,243.54
2013-11-06,263,248.76
2013-11-07,304.17,298.3
2013-11-08,338.66,330.02
2013-11-09,370.82,354.64
2013-11-10,350.7,342.52
2013-11-11,351.27,337.76
2013-11-12,362.81,350.68
2013-11-13,414.05,394.48
2013-11-14,425.9,410.58
2013-11-15,437.89,422.81
2013-11-16,450.26,439.78
2013-11-17,500.58,494.99
2013-11-18,703.78,696.27
2013-11-19,806.11,802.32
2013-11-20,599.65,591.06
2013-11-21,733.4,725.3
2013-11-22,780.85,768.19
2013-11-23,844.97,840.32
2013-11-24,807.36,801.83
2013-11-25,810.68,796.6
2013-11-26,928.54,911.48
2013-11-27,1001.96,984.58
2013-11-28,1077.56,1068.96
2013-11-29,1146.97,1141.61
2013-11-30,1156.14,1141.13
2013-12-01,1133.08,1115.26
2013-12-02,1055.42,1050.29
2013-12-03,1096,1090.24
2013-12-04,1156.12,1143.03
2013-12-05,1154.36,1137.99
2013-12-06,1042.38,1040.59
2013-12-07,854.64,847.54
2013-12-08,802.51,795.62
2013-12-09,921.93,909.39
2013-12-10,997.23,977.58
2013-12-11,1001.58,993.31
2013-12-12,901.94,888.71
2013-12-13,941.79,933.92
2013-12-14,904.65,884.67
2013-12-15,886.16,866.46
2013-12-16,882.25,865.58
2013-12-17,754.83,748.45
2013-12-18,679.32,673.84
2013-12-19,707.23,689.78
2013-12-20,729.16,720.76
2013-12-21,654.27,636.15
2013-12-22,666.74,652.04
2013-12-23,680.91,666.76
2013-12-24,684.39,671.49
2013-12-25,682.7,666
2013-12-26,777.75,760.34
2013-12-27,777.51,775.73
2013-12-28,747.06,734.69
2013-12-29,748.61,735.03
2013-12-30,766.6,746.28
2013-12-31,760.58,757.14
2014-01-01,775.35,769.49
2014-01-02,820.31,816.84
2014-01-03,834.15,817.99
2014-01-04,859.51,839.48
2014-01-05,952.4,944.95
2014-01-06,1017.12,1014.37
2014-01-07,965.74,963.82
2014-01-08,870.68,855.84
2014-01-09,864.36,851.37
2014-01-10,871.19,864.63
2014-01-11,921.48,911.71
2014-01-12,928.52,912.25
2014-01-13,861.29,841.29
2014-01-14,855.69,846.62
2014-01-15,872.81,870.5
2014-01-16,866.16,861.65
2014-01-17,842.91,836.4
2014-01-18,841.49,821.24
2014-01-19,870.96,853.22
2014-01-20,886.39,877.58
2014-01-21,881.2,872.34
2014-01-22,870.15,862.06
2014-01-23,851.57,836.85
2014-01-24,822.43,802.65
2014-01-25,861.45,860.68
2014-01-26,897.02,881.4
2014-01-27,893,878.68
2014-01-28,832.5,820.92
2014-01-29,836.87,818.82
2014-01-30,830.5,813.51
2014-01-31,831.87,823.92
2014-02-01,853.52,842.75
2014-02-02,844.72,841.06
2014-02-03,826.48,823.65
2014-02-04,840.17,822.14
2014-02-05,837.32,826.28
2014-02-06,819.81,804.13
2014-02-07,783.2,778.55
2014-02-08,721.82,716.74
2014-02-09,712.27,706.22
2014-02-10,703.71,687.39
2014-02-11,712.46,702.85
2014-02-12,672.9,664.33
2014-02-13,657.99,642.43
2014-02-14,691.72,679.41
2014-02-15,661.84,651.85
2014-02-16,665.1,661.97
2014-02-17,656.95,649.14
2014-02-18,645.76,634.44
2014-02-19,631.77,611.48
2014-02-20,627.73,608.31
2014-02-21,582.96,576.85
2014-02-22,614.48,604.3
2014-02-23,639.91,623.49
2014-02-24,607.61,605.23
2014-02-25,541.38,535.17
2014-02-26,603.8,590.69
2014-02-27,594.05,592.29
2014-02-28,584.14,564.55
2014-03-01,573.38,569.32
2014-03-02,570.48,558.71
